YEAR,MONTH_NO,QUARTER,YEAR_MONTH,MONTH_NM,WEEK,WEEK_ENDING_MON_SUN_DT,Min_OrderDateTime,KPI,MenuCategoryText,MenuGroupText,MenuItemText,ACTUAL
2022,12,Q4,2022 DEC,DEC,W5,2022-12-29,2022-12-29,Revenue,Liquor,BEER/LIQUOR,MAHARAJA,47.81562209022295
2022,3,Q1,2022 MAR,MAR,W2,2022-03-08,2022-03-08,Average Check,Beverage,BEVERAGE,LASSI,89.09783697400141
2022,6,Q2,2022 JUN,JUN,W5,2022-06-29,2022-06-29,Revenue,Food,CHICKEN,CHILLI CHICKEN,96.55327362384186
2023,7,Q3,2023 JUL,JUL,W5,2023-07-29,2023-07-29,Total Guest Count,Liquor,BEER/LIQUOR,KING FISHER,97.9132934320821
2022,6,Q2,2022 JUN,JUN,W1,2022-06-01,2022-06-01,Average Check,Food,CHICKEN,PANEER PAKORA,12.423667070423486
2023,6,Q2,2023 JUN,JUN,W3,2023-06-15,2023-06-15,Total Guest Count,Food,BREAD,C- Chik Momo,45.90199586313601
2022,1,Q1,2022 JAN,JAN,W2,2022-01-08,2022-01-08,Total Guest Count,Beverage,BEVERAGE,LASSI,57.90646201788071
2023,2,Q1,2023 FEB,FEB,W4,2023-02-22,2023-02-22,Revenue,Beverage,BEVERAGE,ICE,58.582017399489196
2024,9,Q3,2024 SEP,SEP,W4,2024-09-22,2024-09-22,Total Guest Count,Food,BREAD,CHICKEN PAKORA,76.36483899510941
2022,3,Q1,2022 MAR,MAR,W2,2022-03-08,2022-03-08,Total Guest Count,Beverage,BEVERAGE,LASSI,0.1805654877814144
2023,7,Q3,2023 JUL,JUL,W3,2023-07-15,2023-07-15,Average Check,Beverage,BEVERAGE,JUICE,1.5242306884663992
2023,4,Q2,2023 APR,APR,W5,2023-04-29,2023-04-29,Revenue,Food,BREAD,C-Veg Momo,65.10151863583508
2022,1,Q1,2022 JAN,JAN,W2,2022-01-08,2022-01-08,Revenue,Food,CHICKEN,CHILLI PANNER,77.76457019058226
2023,1,Q1,2023 JAN,JAN,W3,2023-01-15,2023-01-15,Average Check,Beverage,BEVERAGE,MANGO,19.341065379383014
2022,5,Q2,2022 MAY,MAY,W5,2022-05-29,2022-05-29,Total Guest Count,Beverage,BEVERAGE,JUICE,38.22702401852262
2022,4,Q2,2022 APR,APR,W5,2022-04-29,2022-04-29,Revenue,Food,RICE,Chow Mein,47.18232088429869
2024,11,Q4,2024 NOV,NOV,W4,2024-11-22,2024-11-22,Average Check,Beverage,BEVERAGE,TEA,65.05680501921303
2023,3,Q1,2023 MAR,MAR,W1,2023-03-01,2023-03-01,Average Check,Beverage,BEVERAGE,SPRITE,32.404369660095064
2022,6,Q2,2022 JUN,JUN,W3,2022-06-15,2022-06-15,Average Check,Liquor,BEER/LIQUOR,MARGARITA,78.89293742666764
2023,8,Q3,2023 AUG,AUG,W4,2023-08-22,2023-08-22,Total Guest Count,Food,LAMB,VEGGIE PAKORA,60.40643833421297
2024,3,Q1,2024 MAR,MAR,W4,2024-03-22,2024-03-22,Total Guest Count,Beverage,BEVERAGE,HIMALAYAN,25.9521052651819
2022,7,Q3,2022 JUL,JUL,W1,2022-07-01,2022-07-01,Revenue,Food,APPETIZER,Himalayan Spicy Wings,68.52206637203072
2024,7,Q3,2024 JUL,JUL,W3,2024-07-15,2024-07-15,Total Guest Count,Food,RICE,VEGETABLE MOMO,25.07642701791854
2022,2,Q1,2022 FEB,FEB,W1,2022-02-01,2022-02-01,Average Check,Liquor,BEER/LIQUOR,FLYING HORSE,10.941173644981314
2022,8,Q3,2022 AUG,AUG,W4,2022-08-22,2022-08-22,Revenue,Beverage,BEVERAGE,HIMALAYAN,29.508202779817296
2023,4,Q2,2023 APR,APR,W5,2023-04-29,2023-04-29,Average Check,Liquor,BEER/LIQUOR,HEINEKEN,46.717850724224185
2024,8,Q3,2024 AUG,AUG,W1,2024-08-01,2024-08-01,Total Guest Count,Food,BREAD,MASALA PAPAD,24.498465975013904
2023,10,Q4,2023 OCT,OCT,W1,2023-10-01,2023-10-01,Total Guest Count,Food,LAMB,MASALA CHICKEN WINGS,63.927348452754416
2023,10,Q4,2023 OCT,OCT,W1,2023-10-01,2023-10-01,Total Guest Count,Beverage,BEVERAGE,COKE,6.0081475661831405
2023,9,Q3,2023 SEP,SEP,W5,2023-09-29,2023-09-29,Average Check,Food,BREAD,Chicken - 65,57.7008210748117
2024,2,Q1,2024 FEB,FEB,W3,2024-02-15,2024-02-15,Revenue,Beverage,BEVERAGE,DIET,0.9790884359138141
2024,1,Q1,2024 JAN,JAN,W4,2024-01-22,2024-01-22,Total Guest Count,Liquor,BEER/LIQUOR,MAHARAJA,60.43796827560157
2023,12,Q4,2023 DEC,DEC,W5,2023-12-29,2023-12-29,Average Check,Food,BREAD,Himalayan Spicy Wings,77.91933318319953
2023,8,Q3,2023 AUG,AUG,W5,2023-08-29,2023-08-29,Revenue,Food,LAMB,CHICKEN MOMO,75.47959360272769
2022,7,Q3,2022 JUL,JUL,W4,2022-07-22,2022-07-22,Average Check,Food,CHICKEN,MASALA PAPAD,97.18354638527956
2022,7,Q3,2022 JUL,JUL,W2,2022-07-08,2022-07-08,Average Check,Beverage,BEVERAGE,SHAKE,38.13213097232629
