YEAR,MONTH_NO,QUARTER,YEAR_MONTH,MONTH_NM,WEEK,WEEK_ENDING_MON_SUN_DT,Min_OrderDateTime,KPI,MenuCategoryText,MenuGroupText,MenuItemText,ACTUAL
2024,3,Q1,2024 MAR,MAR,W5,2024-03-29,2024-03-29,Revenue,Beverage,BEVERAGE,COKE,61.17862930025562
2024,1,Q1,2024 JAN,JAN,W3,2024-01-15,2024-01-15,Average Check,Food,LAMB,Chicken - 65,42.89555981199941
2024,10,Q4,2024 OCT,OCT,W1,2024-10-01,2024-10-01,Average Check,Beverage,BEVERAGE,HIMALAYAN,29.158747359233367
2023,12,Q4,2023 DEC,DEC,W2,2023-12-08,2023-12-08,Total Guest Count,Food,BREAD,CHICKEN MOMO,18.310869464003318
2024,11,Q4,2024 NOV,NOV,W5,2024-11-29,2024-11-29,Revenue,Beverage,BEVERAGE,MANGO,45.52393126532564
2024,6,Q2,2024 JUN,JUN,W2,2024-06-08,2024-06-08,Average Check,Food,APPETIZER,Chik Momo Soup/Jhol,92.33912069092825
2024,12,Q4,2024 DEC,DEC,W3,2024-12-15,2024-12-15,Total Guest Count,Liquor,BEER/LIQUOR,MAHARAJA,21.146317438745182
2024,6,Q2,2024 JUN,JUN,W4,2024-06-22,2024-06-22,Average Check,Beverage,BEVERAGE,MANGO,56.258620421524036
2022,12,Q4,2022 DEC,DEC,W4,2022-12-22,2022-12-22,Total Guest Count,Beverage,BEVERAGE,TEA,35.671522940563136
2022,7,Q3,2022 JUL,JUL,W5,2022-07-29,2022-07-29,Average Check,Food,APPETIZER,C-Veg Momo,23.596239783103947
2024,10,Q4,2024 OCT,OCT,W5,2024-10-29,2024-10-29,Total Guest Count,Beverage,BEVERAGE,MASALA,98.7386902258865
2023,12,Q4,2023 DEC,DEC,W4,2023-12-22,2023-12-22,Revenue,Food,RICE,PANEER PAKORA,2.7695665398194262
2023,9,Q3,2023 SEP,SEP,W3,2023-09-15,2023-09-15,Average Check,Beverage,BEVERAGE,LASSI,25.35754182303756
2023,4,Q2,2023 APR,APR,W2,2023-04-08,2023-04-08,Total Guest Count,Beverage,BEVERAGE,TEA,23.248115196134624
2022,4,Q2,2022 APR,APR,W3,2022-04-15,2022-04-15,Revenue,Beverage,BEVERAGE,MASALA,77.80960989938116
2023,10,Q4,2023 OCT,OCT,W3,2023-10-15,2023-10-15,Average Check,Liquor,BEER/LIQUOR,TAJ MAHAL,43.77502216393033
2022,9,Q3,2022 SEP,SEP,W5,2022-09-29,2022-09-29,Revenue,Liquor,BEER/LIQUOR,CHIVAS REGAL,2.318083134316602
2023,2,Q1,2023 FEB,FEB,W2,2023-02-08,2023-02-08,Total Guest Count,Food,RICE,VEGETABLE MOMO,77.32999214007278
2024,1,Q1,2024 JAN,JAN,W4,2024-01-22,2024-01-22,Revenue,Beverage,BEVERAGE,SPRITE,26.486140029541907
2023,10,Q4,2023 OCT,OCT,W5,2023-10-29,2023-10-29,Average Check,Food,BREAD,PAPADUM,16.92747753156057
2023,8,Q3,2023 AUG,AUG,W2,2023-08-08,2023-08-08,Average Check,Beverage,BEVERAGE,LEMONADE,42.003403445460485
2023,11,Q4,2023 NOV,NOV,W3,2023-11-15,2023-11-15,Revenue,Liquor,BEER/LIQUOR,NEW CASTLE,66.13730921529078
2023,4,Q2,2023 APR,APR,W2,2023-04-08,2023-04-08,Revenue,Beverage,BEVERAGE,PINEAPPLE,11.578552459446945
2022,9,Q3,2022 SEP,SEP,W2,2022-09-08,2022-09-08,Revenue,Liquor,BEER/LIQUOR,CHIVAS REGAL,9.926645772499354
2024,10,Q4,2024 OCT,OCT,W4,2024-10-22,2024-10-22,Revenue,Liquor,BEER/LIQUOR,CHIVAS REGAL,82.46965830162785
2024,3,Q1,2024 MAR,MAR,W4,2024-03-22,2024-03-22,Revenue,Liquor,BEER/LIQUOR,KING FISHER,96.07483556281274
2023,2,Q1,2023 FEB,FEB,W4,2023-02-22,2023-02-22,Average Check,Food,BREAD,Chow Mein,66.77733179822606
2022,5,Q2,2022 MAY,MAY,W1,2022-05-01,2022-05-01,Total Guest Count,Food,CHICKEN,TANDOORI ASSORTED APPZ,49.584512250459795
2024,12,Q4,2024 DEC,DEC,W5,2024-12-29,2024-12-29,Total Guest Count,Food,BREAD,C- Chik Momo,24.146004852599916
2023,2,Q1,2023 FEB,FEB,W2,2023-02-08,2023-02-08,Average Check,Beverage,BEVERAGE,ICE,79.49067157708467
2024,10,Q4,2024 OCT,OCT,W3,2024-10-15,2024-10-15,Revenue,Beverage,BEVERAGE,LASSI,47.3502364749988
2024,3,Q1,2024 MAR,MAR,W4,2024-03-22,2024-03-22,Revenue,Liquor,BEER/LIQUOR,KING FISHER,49.81578793046571
2023,4,Q2,2023 APR,APR,W1,2023-04-01,2023-04-01,Total Guest Count,Food,BREAD,KEEMA SAMOSA,56.66119138589146
2023,8,Q3,2023 AUG,AUG,W4,2023-08-22,2023-08-22,Revenue,Liquor,BEER/LIQUOR,BOMBAY SAPPHIRE,34.49027170676957
2023,6,Q2,2023 JUN,JUN,W4,2023-06-22,2023-06-22,Revenue,Liquor,BEER/LIQUOR,MARGARITA,14.02873420735838
2024,7,Q3,2024 JUL,JUL,W5,2024-07-29,2024-07-29,Revenue,Food,LAMB,BHEL PURI,40.995225437186974
2023,3,Q1,2023 MAR,MAR,W2,2023-03-08,2023-03-08,Revenue,Liquor,BEER/LIQUOR,MANGO MARTINI,6.979364979285522
2022,5,Q2,2022 MAY,MAY,W1,2022-05-01,2022-05-01,Revenue,Beverage,BEVERAGE,LASSI,2.2223108193254903
2024,3,Q1,2024 MAR,MAR,W3,2024-03-15,2024-03-15,Average Check,Food,BREAD,VEGGIE PAKORA,44.69855335507318
2023,12,Q4,2023 DEC,DEC,W5,2023-12-29,2023-12-29,Average Check,Beverage,BEVERAGE,MANGO,84.64062093510853
2022,8,Q3,2022 AUG,AUG,W3,2022-08-15,2022-08-15,Revenue,Beverage,BEVERAGE,TEA,63.3732418668998
2022,11,Q4,2022 NOV,NOV,W5,2022-11-29,2022-11-29,Total Guest Count,Liquor,BEER/LIQUOR,MANGO MARTINI,83.11223695132415
2023,8,Q3,2023 AUG,AUG,W4,2023-08-22,2023-08-22,Revenue,Liquor,BEER/LIQUOR,MARGARITA,4.8566923726083235
2024,8,Q3,2024 AUG,AUG,W2,2024-08-08,2024-08-08,Revenue,Beverage,BEVERAGE,MILK,84.73734164824447
2024,11,Q4,2024 NOV,NOV,W2,2024-11-08,2024-11-08,Total Guest Count,Liquor,BEER/LIQUOR,HEINEKEN,14.501274438217536
2022,5,Q2,2022 MAY,MAY,W1,2022-05-01,2022-05-01,Revenue,Beverage,BEVERAGE,MANGO,23.678676065859484
2024,1,Q1,2024 JAN,JAN,W2,2024-01-08,2024-01-08,Revenue,Food,CHICKEN,CHILI PAKORA,70.4420455221719
2024,6,Q2,2024 JUN,JUN,W1,2024-06-01,2024-06-01,Revenue,Beverage,BEVERAGE,PINEAPPLE,2.3364738822777658
2023,10,Q4,2023 OCT,OCT,W3,2023-10-15,2023-10-15,Total Guest Count,Liquor,BEER/LIQUOR,KING FISHER,37.77187103545162
2024,11,Q4,2024 NOV,NOV,W3,2024-11-15,2024-11-15,Average Check,Food,CHICKEN,Veg Momo Soup/Jhol,20.3383076754197
2023,4,Q2,2023 APR,APR,W4,2023-04-22,2023-04-22,Total Guest Count,Food,CHICKEN,MASALA CHICKEN WINGS,49.211128046327936
2022,1,Q1,2022 JAN,JAN,W5,2022-01-29,2022-01-29,Total Guest Count,Liquor,BEER/LIQUOR,MANGO MARTINI,20.807138459957237
2024,9,Q3,2024 SEP,SEP,W2,2024-09-08,2024-09-08,Total Guest Count,Beverage,BEVERAGE,HIMALAYAN,84.00791576112609
2024,7,Q3,2024 JUL,JUL,W2,2024-07-08,2024-07-08,Revenue,Beverage,BEVERAGE,ICE,18.60484580312151
2024,2,Q1,2024 FEB,FEB,W4,2024-02-22,2024-02-22,Total Guest Count,Food,APPETIZER,CHILI PAKORA,96.1416621038672
2023,3,Q1,2023 MAR,MAR,W2,2023-03-08,2023-03-08,Total Guest Count,Food,CHICKEN,CHILI PAKORA,60.116036792318056
2024,5,Q2,2024 MAY,MAY,W1,2024-05-01,2024-05-01,Total Guest Count,Food,BREAD,MASALA PAPAD,11.970181781537457
2023,2,Q1,2023 FEB,FEB,W3,2023-02-15,2023-02-15,Total Guest Count,Liquor,BEER/LIQUOR,HEINEKEN,78.80370994604897
2023,7,Q3,2023 JUL,JUL,W4,2023-07-22,2023-07-22,Revenue,Food,LAMB,Himalayan Spicy Wings,27.604491418192126
2023,3,Q1,2023 MAR,MAR,W4,2023-03-22,2023-03-22,Revenue,Food,BREAD,C-Veg Momo,86.238642859179
2022,6,Q2,2022 JUN,JUN,W5,2022-06-29,2022-06-29,Revenue,Beverage,BEVERAGE,SPRITE,64.04723625806645
2023,11,Q4,2023 NOV,NOV,W3,2023-11-15,2023-11-15,Average Check,Food,BREAD,CHI CHOELA,78.29849009174268
2024,2,Q1,2024 FEB,FEB,W3,2024-02-15,2024-02-15,Revenue,Food,RICE,PAPADUM,68.03629746388941
2023,8,Q3,2023 AUG,AUG,W2,2023-08-08,2023-08-08,Revenue,Food,BREAD,Chik Momo Soup/Jhol,78.0611369072464
2022,9,Q3,2022 SEP,SEP,W3,2022-09-15,2022-09-15,Total Guest Count,Liquor,BEER/LIQUOR,HEINEKEN,16.264577546801366
2023,1,Q1,2023 JAN,JAN,W3,2023-01-15,2023-01-15,Average Check,Beverage,BEVERAGE,PINEAPPLE,49.75964018849388
2022,9,Q3,2022 SEP,SEP,W1,2022-09-01,2022-09-01,Average Check,Beverage,BEVERAGE,MASALA,98.27767450343595
2023,4,Q2,2023 APR,APR,W5,2023-04-29,2023-04-29,Total Guest Count,Liquor,BEER/LIQUOR,CORKAGE,18.718203541698553
2023,6,Q2,2023 JUN,JUN,W3,2023-06-15,2023-06-15,Average Check,Liquor,BEER/LIQUOR,HEINEKEN,48.20112477976646
2024,2,Q1,2024 FEB,FEB,W2,2024-02-08,2024-02-08,Revenue,Liquor,BEER/LIQUOR,HENNESSY COGNAC,82.58650025335095
2023,4,Q2,2023 APR,APR,W3,2023-04-15,2023-04-15,Total Guest Count,Food,CHICKEN,KEEMA SAMOSA,54.08527299294128
2022,12,Q4,2022 DEC,DEC,W1,2022-12-01,2022-12-01,Revenue,Food,LAMB,MASALA PAPAD,63.2931958265115
2022,6,Q2,2022 JUN,JUN,W5,2022-06-29,2022-06-29,Revenue,Food,BREAD,PANEER PAKORA,18.771219937294898
2022,5,Q2,2022 MAY,MAY,W2,2022-05-08,2022-05-08,Total Guest Count,Liquor,BEER/LIQUOR,FLYING HORSE,33.627838196567474
